Year,Quarter,GMR (Greater Metropolitan Region),Greater Sydney,Rings,Local Government Areas (LGAs),DwellingType,"First Quartile Sales Price
$'000s000","Median Sales Price
$'000s000","Third Quartile Sales Price
'000s000","Mean Sales Price
$'000s000","Sales
No.",Qtly change in Median,Annual change in Median,Qtly change in Count,Annual change in Count
2019,Q2,Total,Rest of State,Rest of State,Moree Plains,Non Strata,108000,193000,305000,215000,20,-35.53%,-21.06%,-54.55%,-58.33%
2019,Q2,Total,Rest of State,Rest of State,Murray River,Total,248000,318000,461000,367000,36,5.83%,-7.30%,-42.86%,-35.71%
2019,Q2,Total,Rest of State,Rest of State,Murray River,Non Strata,257000,320000,465000,376000,33,-0.78%,-7.25%,-36.54%,-36.54%
2019,Q2,Total,Rest of State,Rest of State,Murray River,Strata,0,0,0,0,0,0,0,0,0
2019,Q2,Total,Rest of State,Rest of State,Murrumbidgee,Total,0,0,0,0,0,0,0,0,0
2019,Q2,Total,Rest of State,Rest of State,Murrumbidgee,Non Strata,0,0,0,0,0,0,0,0,0
2019,Q2,Total,Rest of State,Rest of State,Muswellbrook,Total,244000,320000,380000,318000,56,5.96%,-0.62%,-11.11%,-3.45%
2019,Q2,Total,Rest of State,Rest of State,Muswellbrook,Non Strata,257000,325000,380000,324000,53,4.84%,0.93%,-11.67%,-8.62%
2019,Q2,Total,Rest of State,Rest of State,Muswellbrook,Strata,0,0,0,0,0,0,0,0,0
2019,Q2,Total,Rest of State,Rest of State,Nambucca,Total,333000,378000,464000,410000,64,-3.33%,-6.21%,-34.69%,-20.00%
2019,Q2,Total,Rest of State,Rest of State,Nambucca,Non Strata,350000,400000,474000,420000,58,-1.23%,-1.23%,-36.26%,-24.68%
2019,Q2,Total,Rest of State,Rest of State,Nambucca,Strata,0,0,0,0,0,0,0,0,0
2019,Q2,Total,Rest of State,Rest of State,Narrabri,Total,193000,250000,350000,272000,34,2.04%,-10.71%,-12.82%,-19.05%
2019,Q2,Total,Rest of State,Rest of State,Narrabri,Non Strata,193000,250000,350000,272000,34,2.04%,-10.71%,-12.82%,-19.05%
2019,Q2,Total,Rest of State,Rest of State,Narrandera,Total,135000,186000,236000,194000,20,-4.62%,13.41%,-32.35%,-4.17%
2019,Q2,Total,Rest of State,Rest of State,Narrandera,Non Strata,135000,186000,236000,194000,20,-4.62%,13.41%,-32.35%,-4.17%
2019,Q2,Total,Rest of State,Rest of State,Narromine,Total,0,0,0,0,0,0,0,0,0
2019,Q2,Total,Rest of State,Rest of State,Narromine,Non Strata,0,0,0,0,0,0,0,0,0
2019,Q2,Total,Rest of State,Rest of State,Oberon,Total,332000,385000,585000,454000,20,-5.52%,6.94%,-25.00%,-28.57%
2019,Q2,Total,Rest of State,Rest of State,Oberon,Non Strata,332000,385000,585000,454000,20,-5.52%,-12.90%,-25.00%,-16.67%
2019,Q2,Total,Rest of State,Rest of State,Orange,Total,307000,403000,499000,416000,144,-3.59%,2.48%,-27.27%,-38.46%
2019,Q2,Total,Rest of State,Rest of State,Orange,Non Strata,343000,412000,514000,435000,126,-4.19%,0.92%,-30.77%,-41.67%
2019,Q2,Total,Rest of State,Rest of State,Orange,Strata,251000,261000,295000,284000,20,-4.93%,0.77%,12.50%,0.00%
2019,Q2,Total,Rest of State,Rest of State,Parkes,Total,229000,271000,336000,293000,36,6.37%,27.05%,-62.89%,-45.45%
2019,Q2,Total,Rest of State,Rest of State,Parkes,Non Strata,226000,276000,347000,295000,34,8.33%,30.31%,-62.64%,-47.69%
2019,Q2,Total,Rest of State,Rest of State,Parkes,Strata,0,0,0,0,0,0,0,0,0
2019,Q2,Total,Rest of State,Rest of State,Port Macquarie-Hastings,Total,430000,525000,615000,542000,286,0.48%,1.94%,-18.05%,-28.86%
2019,Q2,Total,Rest of State,Rest of State,Port Macquarie-Hastings,Non Strata,483000,563000,650000,583000,214,-0.44%,1.53%,-19.85%,-31.85%
2019,Q2,Total,Rest of State,Rest of State,Port Macquarie-Hastings,Strata,349000,398000,466000,420000,72,2.05%,4.05%,-12.20%,-18.18%
2019,Q2,Total,Rest of State,Rest of State,Queanbeyan-Palerang Regional,Total,397000,531000,700000,556000,208,-1.30%,-5.60%,-25.45%,-20.61%
2019,Q2,Total,Rest of State,Rest of State,Queanbeyan-Palerang Regional,Non Strata,520000,639000,793000,668000,140,-1.68%,-6.09%,-25.93%,-18.60%
2019,Q2,Total,Rest of State,Rest of State,Queanbeyan-Palerang Regional,Strata,235000,350000,415000,325000,68,1.30%,0.58%,-24.44%,-24.44%
2019,Q2,Total,Rest of State,Rest of State,Richmond Valley,Total,250000,303000,376000,317000,68,-8.33%,3.60%,-28.42%,-32.67%
2019,Q2,Total,Rest of State,Rest of State,Richmond Valley,Non Strata,250000,300000,380000,316000,65,-9.09%,2.65%,-25.29%,-24.42%
2019,Q2,Total,Rest of State,Rest of State,Richmond Valley,Strata,0,0,0,0,0,0,0,0,0
2019,Q2,Total,Rest of State,Rest of State,Shoalhaven,Total,440000,540000,686000,592000,374,0.70%,-4.42%,-14.22%,-33.57%
2019,Q2,Total,Rest of State,Rest of State,Shoalhaven,Non Strata,450000,560000,694000,605000,350,1.82%,-3.45%,-12.28%,-32.95%
2019,Q2,Total,Rest of State,Rest of State,Shoalhaven,Strata,340000,403000,446000,402000,20,-11.54%,-3.01%,-35.14%,-41.46%
2019,Q2,Total,Rest of State,Rest of State,Singleton,Total,318000,375000,477000,414000,79,-8.54%,-5.06%,-26.17%,-23.30%
2019,Q2,Total,Rest of State,Rest of State,Singleton,Non Strata,350000,428000,515000,450000,61,0.12%,-1.61%,-36.46%,-28.24%
2019,Q2,Total,Rest of State,Rest of State,Singleton,Strata,224000,310000,340000,291000,20,24.00%,14.81%,63.64%,0.00%
2019,Q2,Total,Rest of State,Rest of State,Snowy Monaro Regional,Total,254000,350000,450000,379000,90,-8.33%,-1.96%,-22.41%,-21.05%
2019,Q2,Total,Rest of State,Rest of State,Snowy Monaro Regional,Non Strata,237000,350000,450000,379000,72,-6.80%,1.16%,-19.10%,-5.26%
2019,Q2,Total,Rest of State,Rest of State,Snowy Monaro Regional,Strata,310000,354000,448000,376000,20,-8.12%,-5.67%,-33.33%,-52.63%
2019,Q2,Total,Rest of State,Rest of State,Snowy Valleys,Total,186000,260000,361000,288000,46,9.47%,19.82%,-36.11%,-33.33%
2019,Q2,Total,Rest of State,Rest of State,Snowy Valleys,Non Strata,186000,260000,361000,288000,46,9.47%,10.64%,-36.11%,-29.23%
2019,Q2,Total,Rest of State,Rest of State,Tamworth Regional,Total,261000,329000,428000,354000,176,-0.30%,-6.33%,-24.79%,-37.59%
2019,Q2,Total,Rest of State,Rest of State,Tamworth Regional,Non Strata,270000,335000,440000,360000,167,-2.05%,-9.21%,-21.60%,-36.74%
2019,Q2,Total,Rest of State,Rest of State,Tamworth Regional,Strata,0,0,0,0,0,0,0,0,0
2019,Q2,Total,Rest of State,Rest of State,Temora,Total,216000,250000,279000,258000,20,-25.37%,9.65%,-59.26%,-21.43%
2019,Q2,Total,Rest of State,Rest of State,Temora,Non Strata,216000,250000,279000,258000,20,-25.37%,9.65%,-59.26%,-21.43%
2019,Q2,Total,Rest of State,Rest of State,Tenterfield,Total,189000,240000,312000,254000,20,-6.80%,7.87%,-6.25%,25.00%
2019,Q2,Total,Rest of State,Rest of State,Tenterfield,Non Strata,189000,240000,312000,254000,20,-4.00%,7.87%,15.38%,25.00%
2019,Q2,Total,Rest of State,Rest of State,Tweed,Total,445000,560000,700000,594000,370,-4.27%,3.70%,-15.33%,-26.44%
2019,Q2,Total,Rest of State,Rest of State,Tweed,Non Strata,535000,645000,775000,682000,229,-2.86%,-0.39%,-13.26%,-19.37%
2019,Q2,Total,Rest of State,Rest of State,Tweed,Strata,365000,440000,522000,450000,141,2.33%,10.00%,-18.50%,-35.62%
2019,Q2,Total,Rest of State,Rest of State,Upper Hunter Shire,Total,240000,329000,410000,342000,46,17.50%,13.45%,-16.36%,-13.21%
2019,Q2,Total,Rest of State,Rest of State,Upper Hunter Shire,Non Strata,237000,338000,429000,344000,44,10.66%,16.38%,-15.38%,-16.98%
2019,Q2,Total,Rest of State,Rest of State,Upper Hunter Shire,Strata,0,0,0,0,0,0,0,0,0
2019,Q2,Total,Rest of State,Rest of State,Upper Lachlan Shire,Total,337000,390000,502000,418000,20,11.43%,6.85%,-58.82%,-54.84%
2019,Q2,Total,Rest of State,Rest of State,Upper Lachlan Shire,Non Strata,337000,390000,502000,418000,20,11.43%,6.85%,-58.82%,-54.84%
2019,Q2,Total,Rest of State,Rest of State,Uralla,Total,237000,343000,401000,332000,20,-10.46%,44.51%,0.00%,-28.00%
2019,Q2,Total,Rest of State,Rest of State,Uralla,Non Strata,237000,343000,401000,332000,20,-10.46%,44.51%,0.00%,-28.00%
2019,Q2,Total,Rest of State,Rest of State,Wagga Wagga,Total,282000,330000,465000,382000,225,-8.65%,-8.33%,-30.56%,-19.64%
2019,Q2,Total,Rest of State,Rest of State,Wagga Wagga,Non Strata,285000,344000,475000,392000,209,-7.79%,-7.16%,-28.67%,-20.23%
2019,Q2,Total,Rest of State,Rest of State,Wagga Wagga,Strata,194000,272000,300000,252000,20,2.64%,33.83%,-48.39%,-11.11%
2019,Q2,Total,Rest of State,Rest of State,Walcha,Total,0,0,0,0,0,0,0,0,0
2019,Q2,Total,Rest of State,Rest of State,Walcha,Non Strata,0,0,0,0,0,0,0,0,0
2019,Q2,Total,Rest of State,Rest of State,Walgett,Total,0,0,0,0,0,0,0,0,0
2019,Q2,Total,Rest of State,Rest of State,Walgett,Non Strata,0,0,0,0,0,0,0,0,0
2019,Q2,Total,Rest of State,Rest of State,Warren,Total,0,0,0,0,0,0,0,0,0
2019,Q2,Total,Rest of State,Rest of State,Warren,Non Strata,0,0,0,0,0,0,0,0,0
2019,Q2,Total,Rest of State,Rest of State,Warrumbungle Shire,Total,131000,160000,195000,169000,20,4.23%,-20.00%,-41.67%,-40.00%
2019,Q2,Total,Rest of State,Rest of State,Warrumbungle Shire,Non Strata,131000,160000,195000,169000,20,4.23%,-20.00%,-41.67%,-40.00%
2019,Q2,Total,Rest of State,Rest of State,Weddin,Total,0,0,0,0,0,0,0,0,0
2019,Q2,Total,Rest of State,Rest of State,Weddin,Non Strata,0,0,0,0,0,0,0,0,0
2019,Q2,Total,Rest of State,Rest of State,Wentworth,Total,190000,298000,360000,257000,20,21.43%,0.85%,-39.29%,-51.43%
2019,Q2,Total,Rest of State,Rest of State,Wentworth,Non Strata,190000,298000,360000,257000,20,21.43%,0.85%,-39.29%,-51.43%
2019,Q2,Total,Rest of State,Rest of State,Wingecarribee,Total,625000,769000,1026000,874000,148,-1.09%,-6.22%,-26.00%,-40.56%
2019,Q2,Total,Rest of State,Rest of State,Wingecarribee,Non Strata,650000,790000,1086000,905000,135,-1.25%,-5.01%,-25.41%,-41.05%
2019,Q2,Total,Rest of State,Rest of State,Wingecarribee,Strata,468000,530000,655000,556000,20,-13.11%,-16.21%,-31.58%,-35.00%
2019,Q2,Total,Rest of State,Rest of State,Yass Valley,Total,430000,664000,839000,664000,38,16.96%,7.06%,-45.71%,-40.62%
2019,Q2,Total,Rest of State,Rest of State,Yass Valley,Non Strata,430000,664000,839000,664000,38,16.96%,7.06%,-45.71%,-40.62%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Total,Total,570000,730000,1010000,905000,13553,-5.19%,-5.52%,-22.23%,-31.19%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Total,Non Strata,600000,766000,1126000,981000,8385,-7.15%,-9.03%,-22.74%,-28.60%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Total,Strata,530000,670000,868000,782000,5168,-4.42%,-5.53%,-21.39%,-35.01%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Bayside,Total,630000,750000,988000,834000,363,-6.25%,-10.18%,-19.33%,-35.64%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Bayside,Non Strata,970000,1138000,1325000,1176000,98,-5.21%,-14.31%,-36.36%,-44.32%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Bayside,Strata,595000,675000,810000,707000,265,-2.88%,-7.53%,-10.47%,-31.70%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Blacktown,Total,565000,645000,765000,670000,687,-5.15%,-8.70%,-13.69%,-29.18%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Blacktown,Non Strata,600000,684000,795000,702000,564,-4.20%,-9.40%,-14.80%,-26.08%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Blacktown,Strata,469000,525000,588000,521000,123,-2.78%,-11.76%,-8.21%,-40.58%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Blue Mountains,Total,555000,645000,751000,669000,237,2.38%,-3.37%,-5.58%,-21.52%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Blue Mountains,Non Strata,565000,650000,765000,679000,219,2.36%,-3.70%,-7.59%,-22.61%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Blue Mountains,Strata,469000,551000,615000,542000,20,-0.23%,6.01%,28.57%,-5.26%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Burwood,Total,652000,778000,998000,919000,50,-27.06%,-19.09%,-55.36%,-34.21%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Burwood,Non Strata,1041000,1249000,1984000,1433000,20,-17.83%,-25.88%,-68.89%,-46.15%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Burwood,Strata,612000,695000,813000,719000,36,-20.11%,-18.38%,-46.27%,-28.00%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Camden,Total,615000,688000,771000,708000,256,-3.17%,-9.60%,-16.34%,-28.89%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Camden,Non Strata,631000,700000,779000,720000,242,-2.91%,-9.21%,-15.97%,-29.65%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Camden,Strata,403000,489000,604000,505000,20,-7.74%,-13.14%,-22.22%,-12.50%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Campbelltown,Total,478000,545000,628000,555000,347,-5.22%,-10.95%,-10.10%,-35.26%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Campbelltown,Non Strata,520000,571000,643000,584000,284,-4.83%,-10.85%,-9.27%,-33.02%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Campbelltown,Strata,387000,420000,467000,425000,63,0.00%,-10.45%,-13.70%,-43.75%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Canada Bay,Total,778000,1020000,1508000,1171000,176,-0.97%,-8.93%,-36.00%,-33.08%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Canada Bay,Non Strata,1395000,1688000,1981000,1701000,56,-4.66%,-22.95%,-32.53%,-33.33%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Canada Bay,Strata,721000,854000,1043000,924000,120,-4.04%,-5.11%,-37.50%,-32.96%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Canterbury-Bankstown,Total,570000,755000,900000,759000,606,-0.92%,-8.48%,-19.31%,-33.91%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Canterbury-Bankstown,Non Strata,770000,855000,970000,879000,351,-3.91%,-14.50%,-22.35%,-30.36%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Canterbury-Bankstown,Strata,455000,547000,650000,593000,255,4.19%,-7.29%,-14.72%,-38.26%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Central Coast,Total,485000,588000,740000,635000,1075,-3.69%,-8.77%,-15.15%,-32.52%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Central Coast,Non Strata,510000,620000,762000,665000,845,-3.28%,-8.15%,-14.82%,-31.58%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Central Coast,Strata,406000,490000,585000,523000,230,-2.00%,-3.92%,-16.36%,-35.75%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Cessnock,Total,328000,393000,479000,426000,181,3.42%,5.36%,-26.72%,-33.70%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Cessnock,Non Strata,348000,400000,495000,442000,162,-1.72%,5.26%,-25.35%,-33.88%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Cessnock,Strata,263000,278000,319000,294000,20,-7.02%,-0.71%,-36.67%,-32.14%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Cumberland,Total,550000,670000,784000,673000,327,-2.90%,-1.47%,-23.95%,-44.01%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Cumberland,Non Strata,720000,770000,855000,789000,183,-3.81%,-12.50%,-21.12%,-26.21%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Cumberland,Strata,461000,538000,591000,527000,144,-2.54%,-8.41%,-27.27%,-57.14%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Fairfield,Total,542000,680000,780000,661000,211,-2.86%,-11.92%,-24.37%,-35.47%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Fairfield,Non Strata,649000,719000,806000,725000,166,-1.58%,-10.75%,-26.22%,-37.36%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Fairfield,Strata,375000,421000,470000,424000,45,-8.08%,-13.64%,-16.67%,-27.42%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Georges River,Total,631000,810000,1139000,923000,269,-14.06%,-10.99%,-24.44%,-29.58%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Georges River,Non Strata,1000000,1200000,1400000,1231000,125,0.00%,-14.29%,-36.55%,-27.75%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Georges River,Strata,565000,650000,750000,655000,144,-5.80%,-7.14%,-9.43%,-31.10%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Hawkesbury,Total,550000,700000,925000,762000,137,-3.11%,-3.45%,-13.29%,-34.76%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Hawkesbury,Non Strata,622000,750000,963000,834000,112,-5.06%,-5.66%,-18.25%,-36.36%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Hawkesbury,Strata,410000,470000,500000,443000,20,-5.05%,-8.96%,19.05%,-26.47%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Hornsby,Total,700000,1018000,1250000,1011000,284,-3.05%,-7.45%,-23.66%,-31.89%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Hornsby,Non Strata,1048000,1175000,1301000,1221000,180,-0.42%,-13.60%,-32.58%,-26.83%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Hornsby,Strata,578000,646000,725000,648000,104,-2.80%,-6.05%,-0.95%,-39.18%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Hunters Hill,Total,1780000,2260000,2719000,2347000,32,28.41%,2.03%,-30.43%,-23.81%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Hunters Hill,Non Strata,2300000,2500000,3250000,2769000,20,-6.37%,-21.87%,-8.70%,0.00%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Hunters Hill,Strata,1238000,1620000,2005000,1541000,20,35.00%,1.25%,-52.17%,-47.62%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Inner West,Total,740000,1100000,1420000,1154000,431,-1.79%,-8.33%,-27.81%,-22.34%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Inner West,Non Strata,1190000,1353000,1700000,1465000,244,-1.99%,-13.30%,-28.02%,-14.39%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Inner West,Strata,600000,699000,875000,749000,187,-5.54%,-11.38%,-27.52%,-30.74%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Kiama,Total,661000,773000,1000000,845000,70,-7.21%,-9.12%,-23.08%,-23.08%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Kiama,Non Strata,729000,833000,1043000,918000,54,-2.06%,-12.37%,-26.03%,-26.03%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Kiama,Strata,515000,610000,683000,598000,20,-16.44%,-1.21%,-11.11%,-11.11%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Ku-Ring-Gai,Total,969000,1525000,2055000,1634000,274,-9.28%,-13.35%,-33.82%,-32.35%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Ku-Ring-Gai,Non Strata,1568000,1910000,2485000,2065000,168,-7.28%,-9.05%,-38.01%,-35.63%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Ku-Ring-Gai,Strata,743000,880000,1071000,951000,106,-3.30%,-9.97%,-25.87%,-26.39%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Lake Macquarie,Total,465000,558000,686000,592000,624,-3.88%,-0.45%,-14.40%,-28.11%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Lake Macquarie,Non Strata,480000,580000,715000,609000,551,-1.69%,0.00%,-14.17%,-25.84%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Lake Macquarie,Strata,400000,447000,500000,458000,73,-1.76%,0.45%,-16.09%,-41.60%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Lane Cove,Total,675000,968000,1735000,1267000,124,10.26%,-25.00%,-29.55%,-33.33%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Lane Cove,Non Strata,1776000,2000000,2388000,2205000,38,-24.53%,-33.33%,-29.63%,-51.90%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Lane Cove,Strata,651000,777000,999000,853000,86,3.88%,-5.30%,-29.51%,-19.63%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Liverpool,Total,585000,706000,810000,724000,290,0.79%,-1.54%,-25.26%,-43.25%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Liverpool,Non Strata,660000,750000,842000,780000,232,0.00%,-5.84%,-20.00%,-33.14%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Liverpool,Strata,429000,522000,564000,498000,58,7.58%,3.21%,-40.82%,-64.63%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Maitland,Total,394000,453000,565000,481000,252,-1.63%,-0.22%,-29.41%,-34.03%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Maitland,Non Strata,395000,470000,570000,492000,233,-1.88%,1.08%,-27.64%,-33.24%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Maitland,Strata,290000,340000,415000,350000,20,-1.45%,-5.56%,-45.71%,-42.42%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Mosman,Total,795000,1478000,2883000,2167000,78,-2.64%,-17.92%,-42.65%,-34.45%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Mosman,Non Strata,2869000,3603000,4873000,3991000,20,-3.29%,-0.55%,-41.67%,-39.13%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Mosman,Strata,715000,963000,1354000,1145000,50,6.06%,-5.64%,-43.18%,-31.51%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Newcastle,Total,480000,580000,725000,626000,503,-1.69%,-4.80%,-28.85%,-33.47%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Newcastle,Non Strata,499000,600000,740000,650000,384,-3.31%,-6.33%,-27.00%,-24.56%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Newcastle,Strata,400000,510000,645000,551000,119,5.15%,-7.27%,-34.25%,-51.82%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,North Sydney,Total,885000,1195000,1735000,1368000,232,-2.45%,-2.45%,-31.36%,-30.95%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,North Sydney,Non Strata,1965000,2278000,2629000,2343000,44,-0.98%,-17.18%,-22.81%,-20.00%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,North Sydney,Strata,808000,1043000,1376000,1140000,188,-5.23%,-6.67%,-33.10%,-33.10%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Northern Beaches,Total,807000,1237000,1655000,1323000,731,-8.71%,-12.58%,-19.93%,-18.23%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Northern Beaches,Non Strata,1315000,1600000,2000000,1722000,373,-5.88%,-13.98%,-25.25%,-17.11%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Northern Beaches,Strata,684000,800000,1039000,908000,358,-9.09%,-10.61%,-13.53%,-19.37%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Parramatta,Total,610000,754000,957000,815000,470,-5.05%,-5.87%,-26.22%,-38.48%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Parramatta,Non Strata,880000,1010000,1248000,1068000,191,-10.22%,-19.20%,-26.82%,-21.40%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Parramatta,Strata,523000,647000,740000,642000,279,-1.97%,-7.57%,-25.80%,-46.45%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Penrith,Total,515000,610000,680000,603000,478,-3.94%,-6.51%,-14.03%,-34.16%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Penrith,Non Strata,572000,643000,701000,650000,364,-3.38%,-8.21%,-14.75%,-30.27%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Penrith,Strata,399000,460000,504000,451000,114,-6.12%,-12.46%,-11.63%,-44.12%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Port Stephens,Total,400000,518000,681000,547000,264,-4.17%,-3.81%,-15.65%,-30.34%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Port Stephens,Non Strata,436000,583000,728000,587000,194,4.02%,-0.60%,-23.92%,-32.64%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Port Stephens,Strata,353000,400000,510000,436000,70,-0.74%,-5.33%,20.69%,-23.08%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Randwick,Total,814000,1060000,1698000,1323000,262,-11.67%,-19.70%,-21.32%,-31.23%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Randwick,Non Strata,1585000,1960000,2430000,2061000,89,-2.00%,-14.22%,-37.32%,-41.45%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Randwick,Strata,765000,860000,1060000,943000,173,-0.58%,-9.47%,-9.42%,-24.45%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Ryde,Total,655000,895000,1273000,998000,312,-7.89%,5.29%,-27.78%,-22.58%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Ryde,Non Strata,1200000,1335000,1600000,1428000,117,-6.48%,-25.42%,-23.03%,1.74%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Ryde,Strata,603000,685000,848000,739000,195,-4.33%,-5.78%,-30.36%,-32.29%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Shellharbour,Total,520000,600000,698000,617000,175,-2.44%,-3.23%,-23.91%,-23.91%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Shellharbour,Non Strata,554000,630000,716000,646000,144,-1.18%,-3.08%,-20.00%,-18.18%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Shellharbour,Strata,425000,490000,533000,483000,31,-5.22%,-5.22%,-38.00%,-42.59%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Strathfield,Total,592000,670000,938000,1128000,71,-7.59%,1.52%,-31.07%,-47.01%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Strathfield,Non Strata,1258000,2250000,3309000,2499000,20,32.35%,-14.12%,-48.65%,-38.71%
2019,Q2,GMR (Greater Metropolitan Region),Total,Total,Strathfield,Strata,580000,633000,678000,627000,52,-1.09%,1.12%,-21.21%,-49.51%
